for NO_TESTS is 0 cond_prob_loop is 0 actual oracle response for each test:
actual_loop_count:364, actual_oracle_response:-1 0 
actual_loop_count:365, actual_oracle_response:0 -1 0 
actual_loop_count:366, actual_oracle_response:-1 0 
actual_loop_count:367, actual_oracle_response:0 0 
actual_loop_count:368, actual_oracle_response:0 0 
actual_loop_count:369, actual_oracle_response:0 0 
actual_loop_count:370, actual_oracle_response:-1 0 
actual_loop_count:371, actual_oracle_response:-1 0 
actual_loop_count:372, actual_oracle_response:0 -1 0 
actual_loop_count:373, actual_oracle_response:-1 0 
actual_loop_count:374, actual_oracle_response:0 -1 0 
actual_loop_count:375, actual_oracle_response:0 0 
actual_loop_count:376, actual_oracle_response:0 0 
actual_loop_count:377, actual_oracle_response:0 0 
actual_loop_count:378, actual_oracle_response:0 0 
actual_loop_count:379, actual_oracle_response:0 -1 0 
actual_loop_count:380, actual_oracle_response:0 0 
actual_loop_count:381, actual_oracle_response:-1 -1 
actual_loop_count:382, actual_oracle_response:0 0 
actual_loop_count:383, actual_oracle_response:0 0 
actual_loop_count:384, actual_oracle_response:0 0 
actual_loop_count:385, actual_oracle_response:0 0 
actual_loop_count:386, actual_oracle_response:-1 0 
actual_loop_count:387, actual_oracle_response:-1 0 
actual_loop_count:388, actual_oracle_response:0 0 
actual_loop_count:389, actual_oracle_response:-1 0 
actual_loop_count:390, actual_oracle_response:0 0 
actual_loop_count:391, actual_oracle_response:0 0 
actual_loop_count:392, actual_oracle_response:0 0 
actual_loop_count:393, actual_oracle_response:-1 0 
actual_loop_count:394, actual_oracle_response:-1 -1 
actual_loop_count:395, actual_oracle_response:-1 -1 
actual_loop_count:396, actual_oracle_response:-1 -1 
actual_loop_count:397, actual_oracle_response:-1 -1 
actual_loop_count:398, actual_oracle_response:-1 0 
actual_loop_count:399, actual_oracle_response:0 0 
actual_loop_count:400, actual_oracle_response:0 -1 0 
actual_loop_count:401, actual_oracle_response:0 -1 0 
actual_loop_count:402, actual_oracle_response:0 -1 0 
actual_loop_count:403, actual_oracle_response:0 0 
actual_loop_count:404, actual_oracle_response:0 -1 0 
actual_loop_count:405, actual_oracle_response:0 -1 0 
actual_loop_count:406, actual_oracle_response:0 -1 -1 
actual_loop_count:407, actual_oracle_response:0 0 
actual_loop_count:408, actual_oracle_response:0 -1 0 
actual_loop_count:409, actual_oracle_response:0 0 
actual_loop_count:410, actual_oracle_response:0 0 
actual_loop_count:411, actual_oracle_response:-1 0 
actual_loop_count:412, actual_oracle_response:-1 -1 
actual_loop_count:413, actual_oracle_response:0 -1 0 
actual_loop_count:414, actual_oracle_response:0 0 
actual_loop_count:415, actual_oracle_response:-1 0 
actual_loop_count:416, actual_oracle_response:0 -1 -1 
actual_loop_count:417, actual_oracle_response:0 0 
actual_loop_count:418, actual_oracle_response:0 -1 0 
actual_loop_count:419, actual_oracle_response:0 -1 0 
actual_loop_count:420, actual_oracle_response:0 0 
actual_loop_count:421, actual_oracle_response:-1 0 
actual_loop_count:422, actual_oracle_response:0 0 
actual_loop_count:423, actual_oracle_response:0 0 
actual_loop_count:424, actual_oracle_response:0 -1 0 
actual_loop_count:425, actual_oracle_response:0 0 
actual_loop_count:426, actual_oracle_response:0 0 
actual_loop_count:427, actual_oracle_response:0 0 
actual_loop_count:428, actual_oracle_response:-1 -1 
actual_loop_count:429, actual_oracle_response:0 -1 0 
actual_loop_count:430, actual_oracle_response:0 -1 0 
actual_loop_count:431, actual_oracle_response:0 -1 0 
actual_loop_count:432, actual_oracle_response:0 -1 0 
actual_loop_count:433, actual_oracle_response:0 -1 -1 
actual_loop_count:434, actual_oracle_response:0 0 
actual_loop_count:435, actual_oracle_response:0 0 
actual_loop_count:436, actual_oracle_response:0 -1 0 
actual_loop_count:437, actual_oracle_response:0 -1 0 
actual_loop_count:438, actual_oracle_response:0 0 
actual_loop_count:439, actual_oracle_response:0 -1 0 
actual_loop_count:440, actual_oracle_response:-1 0 
actual_loop_count:441, actual_oracle_response:0 0 
actual_loop_count:442, actual_oracle_response:-1 0 
actual_loop_count:443, actual_oracle_response:0 0 
actual_loop_count:444, actual_oracle_response:0 -1 0 
actual_loop_count:445, actual_oracle_response:0 -1 0 
