for NO_TESTS is 0 cond_prob_loop is 0 u_1_u_2 for each test:
List_count:980, [95, 462]
List_count:981, [207, 462]
List_count:982, [321, 462]
List_count:983, [427, 462]
List_count:984, [17, 463]
List_count:985, [47, 463]
List_count:986, [213, 463]
List_count:987, [364, 463]
List_count:988, [6, 464]
List_count:989, [85, 464]
List_count:990, [375, 464]
List_count:991, [410, 464]
List_count:992, [454, 464]
List_count:993, [51, 465]
List_count:994, [437, 465]
List_count:995, [40, 466]
List_count:996, [74, 466]
List_count:997, [152, 466]
List_count:998, [253, 466]
List_count:999, [158, 467]
List_count:1000, [194, 467]
List_count:1001, [220, 467]
List_count:1002, [331, 467]
List_count:1003, [358, 467]
List_count:1004, [72, 468]
List_count:1005, [114, 468]
List_count:1006, [340, 468]
List_count:1007, [32, 469]
List_count:1008, [174, 469]
List_count:1009, [182, 470]
List_count:1010, [229, 470]
List_count:1011, [259, 470]
List_count:1012, [405, 470]
List_count:1013, [436, 470]
List_count:1014, [40, 471]
List_count:1015, [244, 471]
List_count:1016, [330, 471]
List_count:1017, [390, 471]
List_count:1018, [438, 471]
List_count:1019, [95, 472]
List_count:1020, [140, 472]
List_count:1021, [149, 472]
List_count:1022, [164, 472]
List_count:1023, [149, 473]
List_count:1024, [165, 473]
List_count:1025, [210, 473]
List_count:1026, [345, 473]
List_count:1027, [44, 474]
List_count:1028, [270, 474]
List_count:1029, [318, 474]
List_count:1030, [73, 475]
List_count:1031, [155, 475]
List_count:1032, [204, 475]
List_count:1033, [387, 475]
List_count:1034, [423, 475]
List_count:1035, [30, 476]
List_count:1036, [51, 476]
List_count:1037, [380, 476]
List_count:1038, [432, 476]
List_count:1039, [115, 477]
List_count:1040, [151, 477]
List_count:1041, [417, 477]
List_count:1042, [422, 477]
List_count:1043, [448, 477]
List_count:1044, [13, 478]
List_count:1045, [95, 478]
List_count:1046, [190, 478]
List_count:1047, [237, 478]
List_count:1048, [293, 478]
List_count:1049, [26, 479]
List_count:1050, [128, 479]
List_count:1051, [268, 479]
List_count:1052, [291, 479]
List_count:1053, [471, 479]
List_count:1054, [34, 480]
List_count:1055, [144, 480]
